city,road_nodes,directed_edges,latent_service_locations,default_service_pool,charger_candidates,depot_candidates
Chicago,35589,93678,412739,385521,289,153
Dallas,36401,92771,240608,204683,220,3627
Fort Worth,42801,110702,209659,203468,73,318
Houston,129583,312433,446536,426893,341,380
Los Angeles,52119,143055,624117,565610,1984,3654
New York City,55249,139085,399045,374417,801,160
Philadelphia,24994,61404,131347,111968,152,33
Phoenix,57324,145312,403118,386546,324,122
San Antonio,48713,124314,371856,362494,146,309
San Diego,52169,125743,267612,257939,817,112
