city,afdc_sites_inside_boundary,charger_exact_geometry,charger_address_corroborated,charger_uncorroborated,charger_distance_gt_250m,charger_candidate_pool,depot_retained,depot_strict,depot_optional,depot_candidate_pool
Chicago,346,5,285,56,0,289,154,19,134,153
Dallas,247,2,219,26,1,220,3641,5,3622,3627
Fort Worth,109,1,75,33,4,73,318,11,307,318
Houston,440,4,346,90,10,341,380,9,371,380
Los Angeles,2202,7,2065,130,3,1984,4155,6,3648,3654
New York City,884,7,798,79,2,801,160,13,147,160
Philadelphia,177,2,150,25,0,152,33,3,30,33
Phoenix,381,4,334,43,7,324,122,19,103,122
San Antonio,195,2,145,48,9,146,309,3,306,309
San Diego,953,18,815,120,12,817,120,5,107,112
