city,buffer_km,node_coverage_pct,road_length_coverage_pct,largest_scc_node_pct,customer_scc_quarantine,depot_scc_quarantine,charger_scc_quarantine
Chicago,1.0,99.92654669293178,99.94891369393896,99.37902160780017,249,1,3
Dallas,0.0,99.1663715367641,99.52095565501045,98.98079723084531,943,14,4
Fort Worth,1.0,99.75504107542943,99.88997693015199,99.40421952758113,588,0,1
Houston,1.0,99.34819233849808,99.56159415142083,99.30855127601615,1308,0,2
Los Angeles,0.0,99.35376872926913,99.70016265061881,94.10195897849152,33942,501,69
New York City,0.0,99.92042392346228,99.97991376975793,99.67420224800449,577,0,0
Philadelphia,0.0,99.9080625174881,99.95564220552893,99.51588381211491,127,0,0
Phoenix,1.0,99.639473631502,99.83095401257518,98.65152466680622,5897,0,11
San Antonio,1.0,99.7388906513092,99.91139176973316,98.73134481555232,2856,0,0
San Diego,5.0,99.63631510460111,99.60425479678702,99.3061013245414,506,8,15
