city,nsi_residential_records,g1_locations,g2_pending_locations,road_distance_gt_200m,scc_quarantined_locations,house,manufactured_home,small_apt,medium_apt,large_apt
Chicago,483425,385756,26983,195,249,266456,2,107349,33652,5280
Dallas,279896,205529,35079,1396,943,213208,1356,13779,8520,3745
Fort Worth,266688,204049,5610,1380,588,192698,2217,9401,4205,1138
Houston,524078,428130,18406,3259,1308,388197,1864,31973,18391,6111
Los Angeles,655504,598626,25491,3770,33942,494969,921,84390,34399,9438
New York City,727990,374960,24085,1183,577,169657,0,151778,50896,26714
Philadelphia,470695,112082,19265,112,127,39581,0,57686,28233,5847
Phoenix,477277,392073,11045,4686,5897,356247,8803,24362,11392,2314
San Antonio,401243,365338,6518,13115,2856,340938,2892,16305,9255,2466
San Diego,283722,258433,9179,2326,506,223233,684,27242,14107,2346
