city,directed_edges,observed_osm_maxspeed_pct,imputed_speed_edges,hpms_matched_edges,reference_profile
Chicago,93678,10.224385661521382,84100,0,us_hpms_nrel_v1
Dallas,92771,19.678563344148493,74515,0,us_hpms_nrel_v1
Fort Worth,110702,13.684486278477353,95553,0,us_hpms_nrel_v1
Houston,312433,6.963733024360423,290676,0,us_hpms_nrel_v1
Los Angeles,143055,35.80860508196148,91829,0,us_hpms_nrel_v1
New York City,139085,30.965237085235646,96017,0,us_hpms_nrel_v1
Philadelphia,61404,15.021822682561398,52180,0,us_hpms_nrel_v1
Phoenix,145312,87.19445056155031,18608,0,us_hpms_nrel_v1
San Antonio,124314,11.594832440433096,109900,0,us_hpms_nrel_v1
San Diego,125743,15.277192368561272,106533,0,us_hpms_nrel_v1
