method,domain,batch,epochs_requested,returncode,peak_device_memory_mib,source_checkpoint_sha256,run_path,epochs_completed
drl_ts,G,24,1,0,5496,3969fb9caa62e123b7cc99f01f9bfbba93865a99bac8e409da5c9feb0d897ca9,/data/curriculum_stage1_smoke_20260920/drl_ts_G,1
am_evrptw,G,108,1,0,5317,15cf24ee299a4ca919ccebdb52fe4329c23068f891b69fd85dde43cda3d132cb,/data/curriculum_stage1_smoke_20260920/am_evrptw_G,1
drl_ts,E,24,1,0,5652,c2fac85a1f1c014edbeab4de38ee78de19039ff5cb717e062e9cf44b1c28f90b,/data/curriculum_stage1_smoke_20260920/drl_ts_E,1
am_evrptw,E,108,1,0,10319,3613886e7fde19ad916e513028c1013c15006a3a626a1b6a0737517d409f6e1c,/data/curriculum_stage1_smoke_20260920/am_evrptw_E,1
evrptw_rl,G,200,1,0,8134,4d53fe56b4e2de49556e9aea31a33ce05b79f5a06590ff7d52ec2be1c81a8bf5,/data/curriculum_stage1_smoke_20260920/evrptw_rl_G,1
rrnco,G,50,1,0,6301,eb14d8eeb68ad87514d4b9e8abd5d5d872dcbfb81ac6c22d77368761f672e23b,/data/curriculum_stage1_smoke_20260920/rrnco_G,1
terran,G,384,1,0,10102,0d093733316e17ce5ecce6319308cd3efeaee5670ce2e85120128f46fabe236f,/data/curriculum_stage1_smoke_20260920/terran_G,1
rrnco,E,50,1,0,10331,d3dd8340ec91467a2b71ba86298c834521afeffcd4a391d9bfe777e1ce733c20,/data/curriculum_stage1_smoke_20260920/rrnco_E,1
evrptw_rl,E,200,1,0,10274,2e0de355c4eb56a7714e2ee953645c19bc5c5c267cb9f5a7d7c84528cc9d00bb,/data/curriculum_stage1_smoke_20260920/evrptw_rl_E,1
terran,E,384,1,0,10158,49cb4d79a4583823d1f2e03834fc0cbe7f0b36f29493913a8447df2175e56729,/data/curriculum_stage1_smoke_20260920/terran_E,1
drl_ts,G,44,3,0,9878,3969fb9caa62e123b7cc99f01f9bfbba93865a99bac8e409da5c9feb0d897ca9,/data/curriculum_stage1_batch_profile_20260920/drl_ts_G,3
am_evrptw,G,208,3,0,9877,15cf24ee299a4ca919ccebdb52fe4329c23068f891b69fd85dde43cda3d132cb,/data/curriculum_stage1_batch_profile_20260920/am_evrptw_G,3
drl_ts,E,44,3,0,10126,c2fac85a1f1c014edbeab4de38ee78de19039ff5cb717e062e9cf44b1c28f90b,/data/curriculum_stage1_batch_profile_20260920/drl_ts_E,3
rrnco,G,82,3,0,9703,eb14d8eeb68ad87514d4b9e8abd5d5d872dcbfb81ac6c22d77368761f672e23b,/data/curriculum_stage1_batch_profile_20260920/rrnco_G,3
evrptw_rl,G,240,3,0,9698,4d53fe56b4e2de49556e9aea31a33ce05b79f5a06590ff7d52ec2be1c81a8bf5,/data/curriculum_stage1_batch_profile_20260920/evrptw_rl_G,3
evrptw_rl,E,224,3,1,10680,2e0de355c4eb56a7714e2ee953645c19bc5c5c267cb9f5a7d7c84528cc9d00bb,/data/curriculum_stage1_batch_profile_20260920/evrptw_rl_E,0
evrptw_rl,E,200,3,0,10276,2e0de355c4eb56a7714e2ee953645c19bc5c5c267cb9f5a7d7c84528cc9d00bb,/data/curriculum_stage1_evr_e_retest_20260920/evrptw_rl_E,3
